product,category,stratum,seed,backend,relight_mode,relight_strength,ablation,format,provider,extraction_method,extraction_quality,boundary_contrast,ssim,psnr_db,lpips,edge_retention,hist_correlation,lighting_coherence,palette_consistency
mug_white,homeware,white,42,procedural,graded,0.75,full,square,procedural,rembg,0.4678,13.61,0.9947,26.59,0.0141,0.9794,0.6686,0.8639,0.9424
mug_white,homeware,white,42,procedural,graded,0.75,full,story,procedural,rembg,0.4678,13.61,0.9949,26.69,0.013,0.9587,0.669,0.9537,0.9356
mug_white,homeware,white,42,procedural,graded,0.75,full,banner,procedural,rembg,0.4678,13.61,0.9944,26.46,0.0167,0.9913,0.6682,0.987,0.9409
mug_white,homeware,white,42,procedural,graded,1.0,full,square,procedural,rembg,0.4678,13.61,0.9924,24.27,0.021,0.9737,0.5068,0.8677,0.9399
mug_white,homeware,white,42,procedural,graded,1.0,full,story,procedural,rembg,0.4678,13.61,0.9925,24.35,0.0199,0.9506,0.5074,0.9561,0.9339
mug_white,homeware,white,42,procedural,graded,1.0,full,banner,procedural,rembg,0.4678,13.61,0.9921,24.19,0.0233,0.9883,0.5061,0.9883,0.9416
camera_dslr,electronics,white,42,procedural,none,0.0,full,square,procedural,rembg,1.0,143.52,0.9957,39.7,0.0083,0.9861,1.0,0.9917,0.9103
camera_dslr,electronics,white,42,procedural,none,0.0,full,story,procedural,rembg,1.0,143.52,0.996,40.11,0.0076,0.9876,1.0,0.8333,0.9272
camera_dslr,electronics,white,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,143.52,0.9953,39.15,0.0092,0.9847,1.0,0.9552,0.918
camera_dslr,electronics,white,42,procedural,graded,0.25,full,square,procedural,rembg,1.0,143.52,0.9935,37.8,0.009,0.9862,0.9965,0.9904,0.911
camera_dslr,electronics,white,42,procedural,graded,0.25,full,story,procedural,rembg,1.0,143.52,0.9938,38.09,0.0082,0.9876,0.9966,0.8386,0.9282
camera_dslr,electronics,white,42,procedural,graded,0.25,full,banner,procedural,rembg,1.0,143.52,0.9931,37.41,0.0098,0.9847,0.9965,0.9581,0.9189
camera_dslr,electronics,white,42,procedural,graded,0.5,full,square,procedural,rembg,1.0,143.52,0.9924,35.87,0.0095,0.9857,0.9899,0.9891,0.9121
camera_dslr,electronics,white,42,procedural,graded,0.5,full,story,procedural,rembg,1.0,143.52,0.9928,36.07,0.0087,0.9875,0.99,0.8438,0.9258
camera_dslr,electronics,white,42,procedural,graded,0.5,full,banner,procedural,rembg,1.0,143.52,0.992,35.6,0.0103,0.9842,0.9899,0.9607,0.9179
camera_dslr,electronics,white,42,procedural,graded,0.75,full,square,procedural,rembg,1.0,143.52,0.9909,34.02,0.0103,0.9853,0.9812,0.9877,0.9129
camera_dslr,electronics,white,42,procedural,graded,0.75,full,story,procedural,rembg,1.0,143.52,0.9913,34.16,0.0095,0.9871,0.9812,0.8486,0.9255
camera_dslr,electronics,white,42,procedural,graded,0.75,full,banner,procedural,rembg,1.0,143.52,0.9905,33.83,0.0111,0.9837,0.9811,0.9632,0.918
camera_dslr,electronics,white,42,procedural,graded,1.0,full,square,procedural,rembg,1.0,143.52,0.989,32.38,0.0112,0.9847,0.9711,0.9862,0.9129
camera_dslr,electronics,white,42,procedural,graded,1.0,full,story,procedural,rembg,1.0,143.52,0.9894,32.48,0.0104,0.987,0.9712,0.8534,0.9243
camera_dslr,electronics,white,42,procedural,graded,1.0,full,banner,procedural,rembg,1.0,143.52,0.9885,32.25,0.012,0.9836,0.9711,0.9656,0.9188
camera_lens,electronics,white,42,procedural,none,0.0,full,square,procedural,rembg,1.0,190.91,0.9962,40.96,0.0086,0.9689,1.0,0.217,0.8785
camera_lens,electronics,white,42,procedural,none,0.0,full,story,procedural,rembg,1.0,190.91,0.9964,41.26,0.0082,0.9693,1.0,0.4061,0.8878
camera_lens,electronics,white,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,190.91,0.9963,41.14,0.0084,0.9687,1.0,0.3477,0.888
camera_lens,electronics,white,42,procedural,graded,0.25,full,square,procedural,rembg,1.0,190.91,0.9919,39.37,0.0091,0.9692,0.9944,0.1587,0.8763
camera_lens,electronics,white,42,procedural,graded,0.25,full,story,procedural,rembg,1.0,190.91,0.9921,39.6,0.0087,0.9702,0.9945,0.3285,0.8872
camera_lens,electronics,white,42,procedural,graded,0.25,full,banner,procedural,rembg,1.0,190.91,0.9921,39.5,0.0089,0.9696,0.9944,0.2771,0.8896
camera_lens,electronics,white,42,procedural,graded,0.5,full,square,procedural,rembg,1.0,190.91,0.9909,38.08,0.0096,0.9687,0.994,0.1217,0.8754
camera_lens,electronics,white,42,procedural,graded,0.5,full,story,procedural,rembg,1.0,190.91,0.9911,38.25,0.0092,0.9701,0.9941,0.2741,0.8855
camera_lens,electronics,white,42,procedural,graded,0.5,full,banner,procedural,rembg,1.0,190.91,0.991,38.18,0.0094,0.9693,0.994,0.2287,0.8877
camera_lens,electronics,white,42,procedural,graded,0.75,full,square,procedural,rembg,1.0,190.91,0.9894,36.75,0.0102,0.9682,0.994,0.0971,0.8756
camera_lens,electronics,white,42,procedural,graded,0.75,full,story,procedural,rembg,1.0,190.91,0.9897,36.88,0.0099,0.9698,0.9941,0.2394,0.8851
camera_lens,electronics,white,42,procedural,graded,0.75,full,banner,procedural,rembg,1.0,190.91,0.9896,36.83,0.01,0.9689,0.9941,0.1961,0.8889
camera_lens,electronics,white,42,procedural,graded,1.0,full,square,procedural,rembg,1.0,190.91,0.9873,35.46,0.011,0.9682,0.9934,0.0819,0.8718
camera_lens,electronics,white,42,procedural,graded,1.0,full,story,procedural,rembg,1.0,190.91,0.9875,35.56,0.0107,0.9696,0.9935,0.2159,0.8857
camera_lens,electronics,white,42,procedural,graded,1.0,full,banner,procedural,rembg,1.0,190.91,0.9874,35.52,0.0109,0.9687,0.9935,0.1757,0.8896
backpack_black,bags,white,42,procedural,none,0.0,full,square,procedural,rembg,1.0,82.06,0.9919,33.84,0.0141,0.9852,0.9997,0.2609,0.9391
backpack_black,bags,white,42,procedural,none,0.0,full,story,procedural,rembg,1.0,82.06,0.9928,34.5,0.0121,0.9879,0.9997,0.0119,0.9446
backpack_black,bags,white,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,82.06,0.9922,33.99,0.0134,0.9864,0.9997,0.1163,0.951
backpack_black,bags,white,42,procedural,graded,0.25,full,square,procedural,rembg,1.0,82.06,0.9907,32.62,0.0153,0.9843,0.9934,0.2469,0.9375
backpack_black,bags,white,42,procedural,graded,0.25,full,story,procedural,rembg,1.0,82.06,0.9917,33.16,0.0132,0.9876,0.9933,0.0083,0.9464
backpack_black,bags,white,42,procedural,graded,0.25,full,banner,procedural,rembg,1.0,82.06,0.9911,32.74,0.0146,0.9857,0.9934,0.1236,0.9447
backpack_black,bags,white,42,procedural,graded,0.5,full,square,procedural,rembg,1.0,82.06,0.9893,31.33,0.0167,0.9833,0.9767,0.2355,0.936
backpack_black,bags,white,42,procedural,graded,0.5,full,story,procedural,rembg,1.0,82.06,0.9902,31.76,0.0146,0.9868,0.9766,0.0062,0.9475
backpack_black,bags,white,42,procedural,graded,0.5,full,banner,procedural,rembg,1.0,82.06,0.9896,31.43,0.0161,0.9845,0.9766,0.1297,0.9386
backpack_black,bags,white,42,procedural,graded,0.75,full,square,procedural,rembg,1.0,82.06,0.9873,30.06,0.0184,0.9816,0.9604,0.2257,0.9335
