product,category,stratum,seed,backend,relight_mode,relight_strength,ablation,format,provider,extraction_method,extraction_quality,boundary_contrast,ssim,psnr_db,lpips,edge_retention,hist_correlation,lighting_coherence,palette_consistency
sunglasses_black,eyewear,white,43,procedural,none,0.0,no_rim,story,procedural,rembg,1.0,104.12,0.9959,39.97,0.0079,0.9939,0.9999,0.0,0.8564
sunglasses_black,eyewear,white,43,procedural,none,0.0,no_rim,banner,procedural,rembg,1.0,104.12,0.9954,39.23,0.0088,0.9903,0.9999,0.0017,0.8573
sunglasses_black,eyewear,white,43,procedural,none,0.0,no_brand,square,procedural,rembg,1.0,104.12,0.9938,37.45,0.0048,0.9453,0.9997,0.0108,0.9427
sunglasses_black,eyewear,white,43,procedural,none,0.0,no_brand,story,procedural,rembg,1.0,104.12,0.9938,37.42,0.0049,0.9457,0.9997,0.0114,0.8441
sunglasses_black,eyewear,white,43,procedural,none,0.0,no_brand,banner,procedural,rembg,1.0,104.12,0.9944,38.17,0.0041,0.9504,0.9998,0.8818,0.9364
sunglasses_black,eyewear,white,43,procedural,none,0.0,no_coord,square,procedural,rembg,1.0,104.12,0.9959,39.98,0.0079,0.9929,0.9999,0.0387,0.8547
sunglasses_black,eyewear,white,43,procedural,none,0.0,no_coord,story,procedural,rembg,1.0,104.12,0.996,40.03,0.0078,0.9924,0.9999,0.1267,0.8577
sunglasses_black,eyewear,white,43,procedural,none,0.0,no_coord,banner,procedural,rembg,1.0,104.12,0.9943,38.07,0.0106,0.9732,0.9999,0.0113,0.852
sunglasses_black,eyewear,white,43,procedural,none,0.0,naive,square,procedural,rembg,1.0,104.12,0.994,37.15,0.0053,0.9431,0.9997,0.0127,0.9395
sunglasses_black,eyewear,white,43,procedural,none,0.0,naive,story,procedural,rembg,1.0,104.12,0.9939,37.12,0.0054,0.943,0.9997,0.9935,0.8432
sunglasses_black,eyewear,white,43,procedural,none,0.0,naive,banner,procedural,rembg,1.0,104.12,0.9945,37.83,0.0044,0.945,0.9998,0.949,0.9346
sunglasses_black,eyewear,white,43,diffusers,none,0.0,full,square,diffusers-turbo,rembg,1.0,104.12,0.986,30.01,0.0215,0.9469,0.9849,0.0165,0.6686
sunglasses_black,eyewear,white,43,diffusers,none,0.0,full,story,diffusers-turbo,rembg,1.0,104.12,0.9861,30.11,0.021,0.9467,0.9848,0.1621,0.6585
sunglasses_black,eyewear,white,43,diffusers,none,0.0,full,banner,diffusers-turbo,rembg,1.0,104.12,0.9871,30.86,0.0185,0.9442,0.985,0.8582,0.6704
sunglasses_black,eyewear,white,43,diffusers,none,0.0,no_shadow,square,diffusers-turbo,rembg,1.0,104.12,0.9859,29.83,0.0216,0.9471,0.9849,0.0214,0.6579
sunglasses_black,eyewear,white,43,diffusers,none,0.0,no_shadow,story,diffusers-turbo,rembg,1.0,104.12,0.986,29.9,0.021,0.9469,0.9848,0.4482,0.6552
sunglasses_black,eyewear,white,43,diffusers,none,0.0,no_shadow,banner,diffusers-turbo,rembg,1.0,104.12,0.987,30.65,0.0185,0.9443,0.985,0.9635,0.6585
sunglasses_black,eyewear,white,43,diffusers,none,0.0,no_rim,square,diffusers-turbo,rembg,1.0,104.12,0.9868,30.01,0.0259,0.9533,0.9849,0.0165,0.6684
sunglasses_black,eyewear,white,43,diffusers,none,0.0,no_rim,story,diffusers-turbo,rembg,1.0,104.12,0.987,30.11,0.0252,0.9533,0.9848,0.1621,0.6582
sunglasses_black,eyewear,white,43,diffusers,none,0.0,no_rim,banner,diffusers-turbo,rembg,1.0,104.12,0.9879,30.86,0.0226,0.9491,0.985,0.8582,0.6693
sunglasses_black,eyewear,white,43,diffusers,none,0.0,no_brand,square,diffusers-turbo,rembg,1.0,104.12,0.986,30.02,0.0225,0.9467,0.9848,0.0306,0.6836
sunglasses_black,eyewear,white,43,diffusers,none,0.0,no_brand,story,diffusers-turbo,rembg,1.0,104.12,0.9855,29.63,0.0238,0.949,0.9847,0.1375,0.6461
sunglasses_black,eyewear,white,43,diffusers,none,0.0,no_brand,banner,diffusers-turbo,rembg,1.0,104.12,0.9865,30.39,0.0204,0.945,0.9847,0.8515,0.6567
sunglasses_black,eyewear,white,43,diffusers,none,0.0,no_coord,square,diffusers-turbo,rembg,1.0,104.12,0.9885,31.94,0.0145,0.9415,0.9852,0.0533,0.7616
